YEAR,MONTH,Solar_Nord,Solar_Centru,Solar_Sud
2015,JAN,0.8604,0.9185,1.1306
2015,FEB,1.8156,1.8619,1.9694
2015,MAR,3.0946,3.023,3.1454
2015,APR,4.3944,4.6706,4.9872
2015,MAY,5.8308,6.1548,6.1997
2015,JUN,6.7315,7.0416,6.8095
2015,JUL,6.072,6.3979,6.6797
2015,AUG,5.6448,5.5572,5.4521
2015,SEP,3.3634,3.9497,4.2799
2015,OCT,2.437,2.6371000000000002,2.5282
2015,NOV,1.1556,1.2254,1.565
2015,DEC,0.9924,1.1251,1.3908
2016,JAN,1.0541,1.1213,1.343
2016,FEB,1.7134,1.7933,2.0602
2016,MAR,2.837,3.0919,3.1488
2016,APR,4.7712,4.7045,4.8715
2016,MAY,5.2102,5.4101,5.4595
2016,JUN,5.7478,5.9914,6.4006
2016,JUL,6.3475,6.6122,6.9725
2016,AUG,5.4413,5.5512,5.7206
2016,SEP,3.931,4.1198,4.4227
2016,OCT,1.813,2.1684,2.3155
2016,NOV,0.9595,1.1215,1.345
2016,DEC,0.8244,0.9437,1.2233
2017,JAN,1.015,1.2828,1.2677
2017,FEB,2.0311,1.8871,2.1058
2017,MAR,2.9815,3.2666,3.431
2017,APR,4.698,4.6565,4.6944
2017,MAY,5.6431,6.211,6.1517
2017,JUN,6.4366,6.756,6.7992
2017,JUL,6.0619,6.2906,6.5914
2017,AUG,5.3858,5.6486,5.993
2017,SEP,3.5645,4.1383,4.5869
2017,OCT,2.1694,2.0657,2.6542
2017,NOV,0.8798,0.9986,1.2485
2017,DEC,0.6389,0.7298,1.1364
2018,JAN,1.0987,1.1724,1.3337
2018,FEB,1.7863,1.7556,1.6181
2018,MAR,2.9146,2.8195,2.6482
2018,APR,5.3122,5.3314,5.6909
2018,MAY,6.211,6.5078,6.3934
2018,JUN,5.4317,5.959,6.5554
2018,JUL,5.5387,5.886,5.8315
2018,AUG,5.8558,6.2808,6.4123
2018,SEP,3.7426,3.7649,4.1762
2018,OCT,2.7946,2.9844,3.1361
2018,NOV,1.0262,1.0332,1.0584
2018,DEC,0.7445,0.7692,1.0058
2019,JAN,0.9286,0.9355,1.1717
2019,FEB,1.7779,1.6699,2.1079
2019,MAR,3.0934,3.3698,4.0538
2019,APR,4.4438,4.5077,4.6056
2019,MAY,4.7974,5.1461,5.5781
2019,JUN,6.7519,6.745,6.7327
2019,JUL,5.8126,6.0922,6.277
2019,AUG,5.4485,5.7449,6.1474
2019,SEP,4.0908,4.2247,4.3608
2019,OCT,2.3882,2.4838,2.724
2019,NOV,1.055,1.1998,1.4623
2019,DEC,0.8863,0.9449,1.277
2020,JAN,1.1357,1.2658,1.4878
2020,FEB,1.8506,2.1636,2.5078
2020,MAR,3.1968,3.5892,3.7543
2020,APR,5.3844,5.5848,5.8586
2020,MAY,4.6954,4.4916,5.341
2020,JUN,5.7487,6.2594,6.3281
2020,JUL,5.6818,6.4486,6.8731
2020,AUG,5.8824,6.126,6.1882
2020,SEP,4.3344,4.5408,4.7035
2020,OCT,1.8242,2.2176,2.669
2020,NOV,0.98740000000000006,1.1258,1.423
2020,DEC,0.5748,0.6134,0.7567
2021,JAN,0.9996,1.0776,1.151
2021,FEB,1.8314,1.8907,2.0623
2021,MAR,2.9357,3.1865,3.1306
2021,APR,4.1873,4.1578,4.3505
2021,MAY,5.291,5.1698,5.6201
2021,JUN,5.8958,5.7905,5.8577
2021,JUL,6.113,6.245,6.7968
2021,AUG,5.297,5.4456,6
2021,SEP,3.6636,3.919,4.3903
2021,OCT,2.9018,2.8699,2.7511
2021,NOV,1.2996,1.464,1.5588
2021,DEC,0.5611,0.6696,0.9362
2022,JAN,0.9948,1.1362,1.4174
2022,FEB,1.9529,2.1852,2.3628
2022,MAR,3.4834,3.4075,3.5522
2022,APR,4.0483,4.0658,4.8156
2022,MAY,6.0413,6.167,6.4572
2022,JUN,6.571,6.4198,6.3278
2022,JUL,5.7665,6.2666,6.6583
2022,AUG,4.6392,4.8238,5.5118
2022,SEP,2.8704,3.301,4.1021
2022,OCT,2.5454,2.8613,3.1848
2022,NOV,0.9665,1.0817,1.4386
2022,DEC,0.7111,0.8436,1.0529
2023,JAN,0.7958,0.9082,1.0812
2023,FEB,1.8012,1.9411,2.0746000000000002
2023,MAR,3.0708,3.162,3.3182
2023,APR,3.2431,3.0449,3.7939
2023,MAY,5.7914,5.825,5.8486
2023,JUN,5.6892,6.2028,6.3979
2023,JUL,6.0607,6.0828,6.2918
2023,AUG,5.7444,5.7446,5.9114
2023,SEP,4.1986,4.4825,4.7712
2023,OCT,2.3974,2.7907,3.2138
2023,NOV,1.1076,1.2658,1.5254
2023,DEC,0.8095,0.8441,1.1112
2024,JAN,1.0781,1.2053,1.3937
2024,FEB,1.741,1.8607,2.1439
2024,MAR,2.723,2.8747,2.8992
2024,APR,4.4926,4.6867,4.8554
2024,MAY,6.1097,6.1428,6.1793
2024,JUN,6.4174,6.4862,6.8743
2024,JUL,6.0691,6.3739,6.7522
2024,AUG,5.4792,5.3081,5.5241
2024,SEP,3.6694,3.845,3.9814
2024,OCT,2.3417,2.5949,2.988
2024,NOV,1.3015,1.4414,1.7297
2024,DEC,0.6943,0.7543,0.996
2025,JAN,1.0541,1.2463,1.5754
2025,FEB,2.0393,2.1883,2.2411
2025,MAR,3.0396,3.048,3.2606
2025,APR,4.7124,5.1329,5.2517
2025,MAY,4.0498,4.897,5.5934
2025,JUN,6.5431,6.955,7.3394
2025,JUL,6.0586,6.3355,6.7769
