YEAR,MONTH,Nord,Centru,Sud
2015,JAN,6.47,6.37,6.14
2015,FEB,5.6,5.86,6.15
2015,MAR,5.72,5.92,6.11
2015,APR,7.04,7.15,7.12
2015,MAY,5.53,5.42,5.31
2015,JUN,5.25,5.34,5.38
2015,JUL,4.97,5.14,4.76
2015,AUG,4.38,4.88,4.87
2015,SEP,5.67,5.78,5.76
2015,OCT,5.5,5.56,5.46
2015,NOV,6.36,6.7,6.26
2015,DEC,6.06,5.86,5.32
2016,JAN,6.42,6.54,6.46
2016,FEB,6.85,6.71,6.3
2016,MAR,6.09,6.32,6.03
2016,APR,5.69,5.73,5.49
2016,MAY,4.8,4.87,4.77
2016,JUN,5.19,5.2,5.11
2016,JUL,5.77,5.4,5.08
2016,AUG,5.07,5.4,5.34
2016,SEP,4.78,5.03,4.91
2016,OCT,6.91,6.54,5.93
2016,NOV,6.34,6.23,6.08
2016,DEC,7.31,6.99,6.78
2017,JAN,6.55,6.58,6.8
2017,FEB,6.02,6.21,6.09
2017,MAR,6.64,6.66,6.73
2017,APR,6.94,7.16,6.87
2017,MAY,5.21,5.47,5.28
2017,JUN,5.87,5.89,5.39
2017,JUL,5.09,5.08,4.97
2017,AUG,4.96,5.11,5.51
2017,SEP,5.95,5.82,5.6
2017,OCT,6.83,6.89,6.36
2017,NOV,5.19,5.29,5.1
2017,DEC,6.88,6.59,6.25
2018,JAN,5.73,5.9,5.76
2018,FEB,5.5,5.85,6
2018,MAR,5.75,5.87,5.44
2018,APR,6.65,6.42,6.09
2018,MAY,5.76,5.52,5.61
2018,JUN,4.93,4.85,4.62
2018,JUL,4.78,4.62,4.31
2018,AUG,4.35,4.49,4.75
2018,SEP,5.41,5.69,5.8
2018,OCT,5.89,6.09,5.93
2018,NOV,5.81,5.31,5.47
2018,DEC,5.96,6.14,5.92
2019,JAN,5.85,6.23,6.34
2019,FEB,6.9,6.7,6.49
2019,MAR,6.69,6.79,6.33
2019,APR,6.6,6.02,6.04
2019,MAY,5.28,5.44,5.43
2019,JUN,4.53,5.14,5.3
2019,JUL,5,4.82,4.53
2019,AUG,4.64,4.98,4.98
2019,SEP,5.4,5.33,5.32
2019,OCT,4.52,4.9,4.73
2019,NOV,6.9,6.59,6.29
2019,DEC,6,6,6.06
2020,JAN,6.16,6.07,5.83
2020,FEB,6.96,7.25,7.15
2020,MAR,6.08,6.79,7.02
2020,APR,5.68,5.99,5.83
2020,MAY,6.28,6.13,6.3
2020,JUN,4.21,4.39,4.01
2020,JUL,4.71,4.78,4.73
2020,AUG,5.37,5.34,5.31
2020,SEP,5.57,5.7,5.7
2020,OCT,5.24,5.19,5.02
2020,NOV,4.69,4.86,4.76
2020,DEC,5.74,5.78,5.72
2021,JAN,5.88,5.97,5.83
2021,FEB,6.37,6.44,6.08
2021,MAR,6.08,6.14,6.21
2021,APR,5.05,5.05,4.89
2021,MAY,5.79,5.59,5.51
2021,JUN,5.64,5.96,6.03
2021,JUL,4.79,4.66,4.72
2021,AUG,4.63,5.01,4.79
2021,SEP,5.78,5.61,5.25
2021,OCT,5.85,5.46,5.33
2021,NOV,6.27,6.06,5.89
2021,DEC,6.38,6.69,6.81
2022,JAN,8.48,7.97,7.78
2022,FEB,6.57,6.41,6.7
2022,MAR,5.85,6.37,6.85
2022,APR,6.18,6.55,6.69
2022,MAY,5.64,5.58,5.05
2022,JUN,5.43,5.47,5.33
2022,JUL,5.52,5.42,5.17
2022,AUG,5.03,5.07,5.34
2022,SEP,5.3,5.65,5.32
2022,OCT,5.71,5.7,5.37
2022,NOV,5.33,5.48,5.34
2022,DEC,5.27,5.64,5.69
2023,JAN,6.55,6.87,6.99
2023,FEB,7.3,7.25,7.39
2023,MAR,6.29,6.37,6.14
2023,APR,5.99,6.37,6.76
2023,MAY,5.43,5.36,5.6
2023,JUN,4.92,5.11,4.98
2023,JUL,4.78,5.32,5.24
2023,AUG,4.62,5.02,4.92
2023,SEP,5.32,5.59,5.77
2023,OCT,6.03,6.57,6.4
2023,NOV,6.84,7.19,7.02
2023,DEC,6.34,6.27,6.35
2024,JAN,7.07,7.07,6.97
2024,FEB,7.32,7.21,6.89
2024,MAR,6.16,6.1,5.84
2024,APR,5.96,5.94,5.78
2024,MAY,5.92,5.99,5.64
2024,JUN,4.85,4.61,4.78
2024,JUL,4.79,5,5.17
2024,AUG,4.48,5.11,5.2
2024,SEP,6.34,6.14,6.09
2024,OCT,5.06,5.45,5.4
2024,NOV,5.57,5.86,5.49
2024,DEC,6.38,6.62,6.52
2025,JAN,5.83,5.85,5.52
2025,FEB,5.07,5.25,5.47
2025,MAR,6.32,6.43,6.05
2025,APR,6.05,5.98,5.75
2025,MAY,5.62,5.58,5.38
2025,JUN,6.44,6.71,6.07
2025,JUL,4.83,5.24,4.86
2025,AUG,4.77,4.73,4.5
2025,SEP,5.71,5.5,5.05
